loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,Reason,addr_state
5000, 36 months,10.65%,B,B2,,10+ years,RENT,24000,Verified,12/1/2011,Fully Paid,Computer,AZ
2500, 60 months,15.27%,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,12/1/2011,Charged Off,bike,GA
2400, 36 months,15.96%,C,C5,,10+ years,RENT,12252,Not Verified,12/1/2011,Fully Paid,real estate business,IL
10000, 36 months,13.49%,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,12/1/2011,Fully Paid,personel,CA
3000, 60 months,12.69%,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,12/1/2011,Fully Paid,Personal,OR
5000, 36 months,7.90%,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,12/1/2011,Fully Paid,My wedding loan I promise to pay back,AZ
7000, 60 months,15.96%,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,12/1/2011,Fully Paid,Loan,NC
3000, 36 months,18.64%,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,12/1/2011,Fully Paid,Car Downpayment,CA
5600, 60 months,21.28%,F,F2,,4 years,OWN,40000,Source Verified,12/1/2011,Charged Off,Expand Business & Buy Debt Portfolio,CA
5375, 60 months,12.69%,B,B5,Starbucks,< 1 year,RENT,15000,Verified,12/1/2011,Charged Off,Building my credit history.,TX
6500, 60 months,14.65%,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,12/1/2011,Fully Paid,High intrest Consolidation,AZ
12000, 36 months,12.69%,B,B5,UCLA,10+ years,OWN,75000,Source Verified,12/1/2011,Fully Paid,Consolidation,CA
9000, 36 months,13.49%,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,12/1/2011,Charged Off,freedom,VA
3000, 36 months,9.91%,B,B1,Target,3 years,RENT,15000,Source Verified,12/1/2011,Fully Paid,citicard fund,IL
10000, 36 months,10.65%,B,B2,SFMTA,3 years,RENT,100000,Source Verified,12/1/2011,Charged Off,Other Loan,CA
1000, 36 months,16.29%,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,MO
10000, 36 months,15.27%,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,12/1/2011,Fully Paid,Home,CA
3600, 36 months,6.03%,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,12/1/2011,Fully Paid,Holiday,CT
6000, 36 months,11.71%,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,12/1/2011,Fully Paid,Medical,UT
9200, 36 months,6.03%,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,12/1/2011,Fully Paid,lowerratemeanseasiertogetoutofdebt!,CA
20250, 60 months,15.27%,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,12/1/2011,Fully Paid,Freedom From Credit Cards,TX
21000, 36 months,12.42%,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,12/1/2011,Charged Off,Debt Cleanup,FL
10000, 36 months,11.71%,B,B3,Value Air,10+ years,OWN,50000,Source Verified,12/1/2011,Fully Paid,Credit Card Loan,TX
10000, 36 months,11.71%,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation,CA
6000, 36 months,11.71%,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,12/1/2011,Charged Off,cash,CA
15000, 36 months,9.91%,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,12/1/2011,Fully Paid,No more credit card debt!,IL
15000, 36 months,14.27%,C,C2,nyc transit,9 years,RENT,60000,Not Verified,12/1/2011,Charged Off,consolidation,NY
5000, 60 months,16.77%,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,12/1/2011,Charged Off,Other,PA
4000, 36 months,11.71%,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation,FL
8500, 36 months,11.71%,B,B3,Oakridge homes,< 1 year,RENT,25000,Source Verified,12/1/2011,Fully Paid,Credit card repayment loan,MN
4375, 36 months,7.51%,A,A3,,7 years,MORTGAGE,17108,Source Verified,12/1/2011,Fully Paid,Debt Consolidation,NY
31825, 36 months,7.90%,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,NJ
10000, 60 months,15.96%,C,C5,US Legal Support,2 years,RENT,29120,Verified,12/1/2011,Fully Paid,Brown Eyes Loan,FL
5000, 36 months,8.90%,A,A5,Good Samaritan Society,2 years,RENT,24044,Verified,12/1/2011,Fully Paid,Consolidation,OR
7000, 36 months,15.96%,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000,Source Verified,12/1/2011,Fully Paid,Credit Card Loan,CA
12400, 36 months,10.65%,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000,Not Verified,12/1/2011,Fully Paid,December 2011 Credit Card Loan,KY
10800, 36 months,9.91%,B,B1,Department of Justice,2 years,RENT,55596,Source Verified,12/1/2011,Fully Paid,Moving to better job; help a veteran!,CA
15000, 36 months,7.90%,A,A4,Gateway Hospice,1 year,RENT,45000,Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,OH
6000, 36 months,12.42%,B,B4,Cox Communications,1 year,RENT,36852,Source Verified,12/1/2011,Fully Paid,Credit Card Consolidation,AZ
12500, 60 months,12.69%,B,B5,United States Infrastructure Corporation,1 year,RENT,27000,Verified,12/1/2011,Fully Paid,Credit card debt,IL
9600, 36 months,7.51%,A,A3,Nucor Building Systems,4 years,RENT,68004,Source Verified,12/1/2011,Fully Paid,Other Loan,SC
12000, 36 months,7.90%,A,A4,John Wiley Jr.,10+ years,RENT,62300,Not Verified,12/1/2011,Fully Paid,Debt Consolidation,NJ
3000, 36 months,18.25%,D,D5,,9 years,MORTGAGE,65000,Not Verified,12/1/2011,Fully Paid,Year End Cleanup,PA
4400, 36 months,16.77%,D,D2,citizens bank,10+ years,RENT,55000,Not Verified,12/1/2011,Fully Paid,debt,RI
